CustomerID,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,Class1,Class
15776156,1,22,11,2,4,4,1,0,0,0,1,2,100,1213,0,0
15739548,0,22,7,2,8,4,0,0,0,0,0,2,160,1,0,0
15662854,0,29,1,1,4,4,1,0,0,0,1,2,280,1,0,1
15687688,0,21,11,1,5,3,0,1,1,11,1,2,0,1,1,0
15715750,1,20,8,2,6,4,1,1,1,14,0,2,60,159,1,0
15571121,0,15,0,2,8,8,1,1,1,2,0,2,100,1,1,0
15726466,1,17,6,2,3,4,0,0,0,0,0,2,60,101,0,0
15660390,0,58,4,2,11,8,3,1,1,6,0,2,43,561,1,0
15663942,1,27,1,1,2,8,3,0,0,0,0,2,176,538,0,0
15638610,0,55,7,2,4,8,6,1,1,3,1,2,100,51,0,0
15644446,1,33,1,2,14,8,4,1,1,4,1,2,253,858,1,0
15585892,1,41,5,2,11,8,5,1,1,6,1,2,470,1,1,0
15609356,1,20,1,1,8,8,1,1,1,3,1,2,140,211,0,0
15803378,1,34,5,2,14,8,7,1,1,6,1,2,0,1001,1,0
15599440,1,58,2,2,8,4,2,0,0,0,1,2,320,1,0,0
15692408,1,48,6,2,4,4,0,0,0,0,0,2,0,2691,1,0
15683168,1,29,4,2,9,4,7,1,1,2,1,2,330,1,1,0
15790254,0,18,9,2,6,4,0,1,1,2,0,2,88,592,1,0
15767729,1,20,1,1,4,4,0,0,0,0,0,2,140,5,0,0
15768600,0,22,5,2,11,4,2,1,1,7,0,2,129,3258,1,0
15699839,0,28,0,2,6,4,0,0,0,0,0,2,260,1005,0,0
15786237,0,19,0,1,6,4,0,1,0,0,1,2,160,1,0,0
15694530,1,41,1,2,2,4,0,0,0,0,0,2,168,1,0,0
15796813,1,41,1,2,4,4,0,1,0,0,0,2,160,1,0,0
15605791,1,19,9,2,6,4,0,0,0,0,0,2,80,351,0,0
15714087,1,32,1,2,13,8,5,1,1,3,1,2,0,1,1,0
15711446,1,22,0,1,4,4,0,0,0,0,0,2,200,71,0,0
15588123,1,33,3,1,8,8,2,1,1,1,1,2,180,18028,1,0
15748552,0,30,12,2,8,4,2,1,1,1,0,2,220,20,1,0
15618410,1,23,2,2,8,4,1,1,1,11,1,2,60,2185,1,0
15672432,1,27,0,2,8,8,4,1,1,3,1,2,312,151,1,0
15610042,0,20,10,1,14,8,0,0,0,0,1,2,154,33,0,0
15580914,1,52,1,1,8,8,9,1,0,0,1,2,200,101,0,0
15583680,1,23,11,2,9,8,2,1,1,11,1,2,290,285,1,0
15813718,1,42,1,2,7,4,13,0,1,1,1,2,352,113,0,0
15767264,1,74,19,1,1,1,0,0,1,2,0,2,0,352,0,0
15686461,1,25,12,2,6,4,3,1,0,0,1,1,20,1,1,0
15678882,1,39,13,2,9,4,8,1,1,6,1,2,70,1,1,0
15789611,0,47,8,2,8,4,7,1,1,6,1,2,0,1261,1,0
15668679,0,47,3,2,14,4,13,1,1,2,1,2,519,1705,1,0
15631685,1,23,0,2,13,4,0,1,0,0,0,2,0,1,1,0
15655658,1,22,1,1,6,4,0,0,0,0,1,2,120,68,0,0
15753591,1,26,1,2,14,8,1,1,0,0,0,2,0,5299,1,0
15617348,1,63,0,2,8,4,0,1,1,3,1,2,180,1,0,0
15704581,1,23,0,1,8,4,0,0,1,2,0,2,128,7,0,0
15738487,0,20,10,2,11,4,0,1,1,2,1,2,49,1,1,0
15648069,0,24,1,1,8,4,0,0,0,0,0,2,132,1,0,0
15737627,1,16,0,2,8,4,0,0,0,0,0,2,0,1,1,0
15731586,0,29,2,1,10,8,2,0,0,0,0,2,256,18,0,0
15757467,0,52,15,2,8,4,5,1,1,14,0,2,0,2201,1,0
15597709,1,32,3,2,4,4,0,0,0,0,1,2,232,1,0,0
15720529,1,21,4,1,3,8,0,0,0,0,0,2,140,101,0,0
15596797,1,28,0,1,4,4,0,0,0,0,0,2,216,2101,0,0
15681755,1,19,1,1,8,4,2,0,0,0,1,2,112,7,0,0
15815271,1,27,3,1,11,8,5,0,1,2,1,2,369,2,0,0
15682860,1,27,1,2,9,4,2,1,1,11,1,2,434,36,1,0
15621546,1,40,6,2,6,5,3,1,1,1,0,2,0,501,1,0
15705918,0,37,2,2,3,8,0,0,0,0,0,2,260,247,0,0
15684512,1,42,4,1,9,4,3,1,0,0,1,2,52,1443,1,0
15671769,1,56,12,2,7,4,1,1,1,4,1,2,200,1,1,0
15642934,1,43,5,2,3,5,2,0,0,0,1,2,141,1,0,0
15594305,0,23,0,2,9,4,0,0,1,1,1,2,240,5,0,1
15789201,1,18,2,2,3,4,1,1,1,2,0,2,120,301,1,0
15706762,0,40,3,2,3,5,0,0,0,0,0,1,1160,1,0,0
15766183,0,24,0,2,11,8,1,1,0,0,0,2,280,825,1,0
15777994,1,42,9,2,14,8,7,1,1,8,0,2,0,1,1,0
15568162,0,19,0,2,11,4,0,0,0,0,1,2,380,1,0,0
15680643,1,21,11,2,3,4,0,1,0,0,1,2,100,69,0,0
15761854,1,31,2,2,1,1,0,0,1,5,0,2,176,147,0,0
15730793,1,27,1,2,13,8,1,1,1,12,1,2,583,714,1,0
15692137,1,48,26,1,1,1,0,1,0,0,1,2,0,1,0,0
15608595,0,30,1,2,9,8,0,0,1,3,0,2,0,34,0,0
